Map_ID,Size,NumWumpus,PitProb,Moving,Hybrid_Success,Hybrid_Score,Hybrid_Decision_Eff,Hybrid_Time_ms,Random_Success,Random_Score,Random_Decision_Eff,Random_Time_ms
1,8,1,0.1,False,1,939,73,4646.175861,0,-1056,82,1.024961
2,8,1,0.1,False,1,919,93,11956.991911,1,1010,2,0.038624
3,8,1,0.1,False,1,923,89,26073.504925,0,0,1,0.024796
4,8,1,0.1,False,1,887,125,37329.098463,0,-12,6,0.09346
5,8,1,0.1,False,1,912,100,7009.202242,0,-1156,256,2.907276
6,8,1,0.1,False,1,979,33,937.378645,0,-1125,181,2.163887
7,8,1,0.1,False,1,989,23,134.567499,0,-1001,1,0.033855
8,8,1,0.1,False,0,-1133,124,28256.642818,0,-12,6,0.098705
9,8,1,0.1,False,1,929,83,14790.481329,0,0,1,0.025749
10,8,1,0.1,False,0,-1013,13,41.568995,0,-1041,51,0.599861
11,8,1,0.1,False,1,992,20,151.548862,0,-1039,39,0.498772
12,8,1,0.1,False,1,970,42,1052.304268,0,-1154,209,2.610445
13,8,1,0.1,False,1,875,137,36810.720921,0,-1011,3,0.087261
14,8,1,0.1,False,1,848,155,49794.950962,0,-22,20,0.261545
15,8,1,0.1,False,1,1001,11,20.17355,0,-21,20,0.329733
16,8,1,0.1,False,0,-1009,9,11.153698,0,0,1,0.025034
17,8,1,0.1,False,1,962,50,822.108746,0,0,1,0.025988
18,8,1,0.1,False,1,922,90,11106.992722,0,-1,2,0.044346
19,8,1,0.1,False,0,-1141,132,12807.081223,1,1010,2,0.041962
20,8,1,0.1,False,1,955,57,2812.827587,0,0,1,0.024557
21,8,1,0.1,False,1,978,34,441.334248,0,-1026,28,0.381947
22,8,1,0.1,False,1,926,77,4591.107607,0,-10,3,0.064135
23,8,1,0.1,False,0,-1024,24,62.212229,0,-12,4,0.085831
24,8,1,0.1,False,1,900,112,24269.115686,0,-15,10,0.137091
25,8,1,0.1,False,1,974,38,388.922453,0,-25,28,0.348806
26,8,1,0.1,False,1,974,38,475.860119,0,-10,5,0.079393
27,8,1,0.1,False,1,956,56,1690.416813,0,-1037,45,0.567675
28,8,1,0.1,False,0,-1008,8,5.965233,0,0,1,0.024796
29,8,1,0.1,False,1,881,131,26612.51688,0,-12,6,0.095129
30,8,1,0.1,False,1,974,38,411.456585,0,-11,3,0.077963
31,8,1,0.1,False,1,957,55,2674.119949,0,-1025,24,0.347853
32,8,1,0.1,False,0,-1002,2,1.067162,0,0,1,0.021219
33,8,1,0.1,False,1,924,88,15328.660727,0,0,1,0.028133
34,8,1,0.1,False,1,928,84,7800.719738,0,-1304,468,5.158901
35,8,1,0.1,False,1,851,152,43227.812767,0,0,1,0.028133
36,8,1,0.1,False,1,901,111,23946.263313,0,-77,113,1.344442
